10.0,81.9,1.0,2.9,41.988702,38.63891,0.803245,3992625492.0,45.359375,90.4,9.428253,0.0,0.0
10.0,81.9,1.0,2.9,41.876871,38.580053,0.857775,3992625596.0,45.359375,90.4,8.777583,0.0,0.0
10.0,81.9,1.0,2.9,41.918554,38.631852,0.820537,3992625700.0,45.359375,90.4,9.375517,0.0,0.0
10.0,81.9,1.0,2.9,41.895744,38.711458,0.856179,3992625805.0,45.359375,90.4,9.141317,0.0,0.0
10.0,81.9,1.0,2.9,41.913671,38.609117,0.855927,3992625909.0,45.359375,90.4,9.273084,0.0,0.0
10.0,81.9,1.0,2.9,41.987745,38.690179,0.820637,3992626012.0,45.359375,90.4,8.850416,0.0,0.0
10.0,81.9,1.0,2.9,41.966218,38.723435,0.840084,3992626116.0,45.359375,90.4,8.731097,0.0,0.0
10.0,81.9,1.0,2.9,41.933197,38.693225,0.837828,3992626220.0,45.359375,90.4,8.512201,0.0,0.0
10.0,81.9,1.0,2.9,41.852393,38.758246,0.927871,3992626324.0,45.359375,90.4,9.504046,0.0,0.0
10.0,81.9,1.0,2.9,41.932077,38.632407,0.838602,3992626427.0,45.359375,90.4,9.13134,0.0,0.0
10.0,81.9,1.0,2.9,41.954519,38.699089,0.802627,3992626531.0,45.359375,90.4,8.419978,0.0,0.0
10.0,81.9,1.0,2.9,41.93351,38.616133,0.821527,3992626635.0,45.359375,90.4,8.840825,0.0,0.0
10.0,81.9,1.0,2.9,41.895692,38.565867,0.857012,3992626738.0,45.359375,90.4,9.05277,0.0,0.0
